timestamp,station_id,station_name,pm25_cmaq,o3_cmaq,no2_cmaq,so2_cmaq,co_cmaq
14,HN_NC,Nhân Chính,1.9580564498901367,0.032959748059511185,0.0007410962134599686,5.186650923860725e-06,0.0837002843618393
14,HN_GP,Giải Phóng,1.8352349996566772,0.03294192999601364,0.00068046705564484,3.5225157262175344e-06,0.08325442671775818
15,HN_NVC,Nguyễn Văn Cừ,1.917737603187561,0.031947627663612366,0.0007046292303130031,1.2036794032610487e-05,0.08281457424163818
15,HN_NC,Nhân Chính,2.141115665435791,0.032901257276535034,0.0007990849553607404,6.166620551084634e-06,0.08413708209991455
15,HN_GP,Giải Phóng,1.9504634141921997,0.032879382371902466,0.0007090409053489566,4.199282557237893e-06,0.08345922082662582
16,HN_NVC,Nguyễn Văn Cừ,2.197200059890747,0.032147422432899475,0.0007515349425375462,1.4858927897876129e-05,0.08380850404500961
16,HN_NC,Nhân Chính,2.53364896774292,0.03232695907354355,0.0009352847700938582,8.70890562509885e-06,0.08529824018478394
16,HN_GP,Giải Phóng,2.2342867851257324,0.03264549374580383,0.0007736820261925459,6.070247764000669e-06,0.08438423275947571
17,HN_NVC,Nguyễn Văn Cừ,2.6506130695343018,0.032028719782829285,0.0008434107876382768,1.9118888303637505e-05,0.0860891193151474
17,HN_NC,Nhân Chính,3.399075508117676,0.03141428530216217,0.001186836278066039,1.1450842066551559e-05,0.08737599849700928
17,HN_GP,Giải Phóng,2.7150347232818604,0.03188515454530716,0.0009572290582582355,1.0461209967616014e-05,0.08622314035892487
18,HN_NVC,Nguyễn Văn Cừ,3.5088815689086914,0.031730227172374725,0.0010182175319641829,1.590472129464615e-05,0.08738338947296143
18,HN_NC,Nhân Chính,4.572676181793213,0.031105322763323784,0.0014026351273059845,7.417425422318047e-06,0.08933649957180023
18,HN_GP,Giải Phóng,3.8589563369750977,0.03136466443538666,0.001172635005787015,9.406564458913635e-06,0.08801500499248505
19,HN_NVC,Nguyễn Văn Cừ,4.55404806137085,0.031117647886276245,0.0012098557781428099,9.931712156685535e-06,0.08854597061872482
19,HN_NC,Nhân Chính,4.730158805847168,0.028931308537721634,0.0017911640461534262,6.523214324261062e-06,0.09096532315015793
19,HN_GP,Giải Phóng,4.285480976104736,0.030116571113467216,0.0014406259870156646,5.5725013226037845e-06,0.08980640769004822
20,HN_NVC,Nguyễn Văn Cừ,4.725474834442139,0.028281167149543762,0.0015754192136228085,1.621545925445389e-05,0.09054087847471237
20,HN_NC,Nhân Chính,5.680356502532959,0.02370676025748253,0.002635940443724394,0.00017925904830917716,0.09204424917697906
20,HN_GP,Giải Phóng,4.623658657073975,0.02571921795606613,0.0020687973592430353,7.32596599846147e-05,0.09100152552127838
21,HN_NVC,Nguyễn Văn Cừ,5.694796562194824,0.023225098848342896,0.002328912727534771,0.00025208224542438984,0.09139277786016464
21,HN_NC,Nhân Chính,6.366250514984131,0.020246874541044235,0.003239567158743739,0.00111280451528728,0.09309973567724228
21,HN_GP,Giải Phóng,5.522039413452148,0.02109336480498314,0.0028687315061688423,0.0008563122246414423,0.09217783808708191
22,HN_NVC,Nguyễn Văn Cừ,6.434632301330566,0.019747212529182434,0.0029425504617393017,0.0012538041919469833,0.0923919826745987
22,HN_NC,Nhân Chính,6.476989269256592,0.01894819363951683,0.003425330389291048,0.0017591374926269054,0.09442974627017975
22,HN_GP,Giải Phóng,5.643307685852051,0.01941167190670967,0.0031447308138012886,0.0019772732630372047,0.09345155954360962
23,HN_NVC,Nguyễn Văn Cừ,6.286287784576416,0.018413657322525978,0.0031245655845850706,0.0018417176324874163,0.09313970059156418
23,HN_NC,Nhân Chính,5.915825366973877,0.017828447744250298,0.003605043049901724,0.0015627898974344134,0.09721972048282623
23,HN_GP,Giải Phóng,5.370060443878174,0.018124204128980637,0.0033705267123878,0.002009668853133917,0.09534042328596115
